generator,G,ci_low,ci_high,k_used,k_total
AIL,1.6543918176768058,1.5505091914145923,1.7674006401466607,4,4
GBM,23.378901773968273,22.129336791484434,24.690506931168475,4,4
MSV,7.639174766755207,7.216810099307753,8.12338802887038,4,4
