generator,G,ci_low,ci_high,k_used,k_total
AIL,1.7103013201284472,1.602865060020317,2.0725537721257568,4,4
GBM,15.904253945197635,13.372725075736767,22.208787330832337,4,4
MSV,6.125630845644522,5.734609646643572,7.099831641446357,4,4
