ticker,median_bars_per_day,trading_days,total_returns,liquidity_class
SAIC,214.0,139,30304,excluded
SAIL,328.0,139,44210,train_only
SANM,211.0,139,29101,excluded
SATS,206.0,139,29645,excluded
SBGI,346.0,139,46687,train_only
SBH,365.0,139,49572,eval_eligible
SBNY,208.0,139,29960,excluded
SBRA,365.0,139,50212,eval_eligible
SC,324.0,139,44517,train_only
SCI,315.0,139,43211,train_only
SDC,387.0,132,50108,eval_eligible
SDGR,342.0,31,10524,train_only
SEDG,351.0,139,47477,eval_eligible
SEE,348.0,139,46970,train_only
SEM,289.0,139,38757,train_only
SERV,351.0,139,45748,eval_eligible
SF,214.0,139,30261,excluded
SFIX,379.0,139,51466,eval_eligible
SFM,366.0,139,49099,eval_eligible
SFNC,249.0,139,35349,excluded
SHAK,362.0,139,48533,eval_eligible
SHEN,121.0,139,18482,excluded
SHLX,248.0,139,35338,excluded
SHO,371.0,139,50496,eval_eligible
SHOO,297.0,139,40768,train_only
SIGI,161.0,139,23849,excluded
SIMO,154.0,139,23504,excluded
SINA,282.0,139,39439,train_only
SITE,200.0,139,28180,excluded
SIVB,250.0,139,34885,excluded
SJI,273.0,139,37310,excluded
SKX,374.0,139,50877,eval_eligible
SLAB,144.0,139,21978,excluded
SLG,317.0,139,42698,train_only
SLM,381.0,139,51786,eval_eligible
SMAR,365.0,139,49291,eval_eligible
SMG,236.0,139,33216,excluded
SMTC,217.0,139,32582,excluded
SNA,210.0,139,30529,excluded
SNDR,220.0,139,31409,excluded
SNV,369.0,139,50195,eval_eligible
SNX,202.0,139,28393,excluded
SON,227.0,139,32961,excluded
SPB,257.0,139,35878,excluded
SPCE,373.0,139,44606,eval_eligible
SPR,343.0,139,46408,train_only
SPSC,118.0,139,18254,excluded
SPXC,174.0,139,24938,excluded
SR,151.0,139,22982,excluded
SRC,315.0,139,42925,train_only
SRCL,291.0,139,40602,train_only
SRPT,350.0,139,47230,eval_eligible
SSB,97.0,139,17042,excluded
SSD,149.0,139,22205,excluded
SSNC,375.0,139,51183,eval_eligible
SSRM,344.0,139,46888,train_only
STAG,324.0,139,44578,train_only
STAY,359.0,139,48624,eval_eligible
STL,363.0,139,49646,eval_eligible
STLD,381.0,139,52144,eval_eligible
STMP,215.0,139,31201,excluded
STNE,371.0,139,50062,eval_eligible
STOR,377.0,139,51292,eval_eligible
STRA,79.0,139,11890,excluded
STWD,357.0,139,49128,eval_eligible
SVMK,310.0,139,41739,train_only
SWCH,314.0,139,41956,train_only
SWI,254.0,139,33917,excluded
SWN,389.0,139,53620,eval_eligible
SWX,170.0,139,24765,excluded
SXT,143.0,139,22443,excluded
SYF,389.0,139,53534,eval_eligible
SYNA,300.0,139,40725,train_only
SYNH,236.0,139,34588,excluded
TAP,376.0,139,51648,eval_eligible
TCBI,244.0,139,33649,excluded
TCF,326.0,139,44731,train_only
TCO,306.0,139,41799,train_only
TDC,349.0,139,47761,train_only
TDOC,369.0,139,49677,eval_eligible
TDS,287.0,139,40029,train_only
TDY,139.0,139,20573,excluded
TECD,228.0,139,33156,excluded
TECH,81.0,139,13176,excluded
TECK,385.0,139,52780,eval_eligible
TENB,253.0,139,35092,excluded
TER,383.0,139,52146,eval_eligible
TERP,341.0,139,46369,train_only
TGNA,362.0,139,49293,eval_eligible
THC,359.0,139,48231,eval_eligible
THG,154.0,139,22789,excluded
THO,323.0,139,44348,train_only
THS,223.0,139,32564,excluded
TKR,277.0,139,38948,excluded
TNET,205.0,139,30070,excluded
TOL,381.0,139,51677,eval_eligible
TPR,389.0,139,53480,eval_eligible
TPTX,182.0,139,25771,excluded
TPX,317.0,139,43037,train_only
TREE,65.0,139,11224,excluded
TREX,268.0,139,37267,excluded
TRGP,381.0,139,52201,eval_eligible
TRIP,385.0,139,52453,eval_eligible
TRMB,333.0,139,45302,train_only
TRMK,128.0,139,20494,excluded
TRN,360.0,139,49078,eval_eligible
TRNO,181.0,139,26572,excluded
TRTN,178.0,139,26393,excluded
TSCO,376.0,139,51266,eval_eligible
TTC,208.0,139,30018,excluded
TTEC,86.0,139,13185,excluded
TTEK,163.0,139,23491,excluded
TW,265.0,139,36662,excluded
TWO,358.0,139,48690,eval_eligible
TXRH,333.0,139,44550,train_only
TXT,374.0,139,51257,eval_eligible
UAA,389.0,139,53407,eval_eligible
UAL,387.0,139,52864,eval_eligible
UBSI,225.0,139,32970,excluded
UCBI,191.0,139,27765,excluded
UE,297.0,139,41568,train_only
UFPI,172.0,139,25818,excluded
UFS,334.0,139,44437,train_only
UGI,364.0,139,49596,eval_eligible
UHS,277.0,139,38433,excluded
UI,160.0,139,22897,excluded
ULTA,368.0,139,49431,eval_eligible
UMBF,103.0,139,16144,excluded
UMPQ,359.0,139,49077,eval_eligible
UNIT,358.0,139,48704,eval_eligible
UNM,379.0,139,51915,eval_eligible
UNVR,345.0,139,46821,train_only
URBN,385.0,139,52243,eval_eligible
URI,371.0,139,50185,eval_eligible
USFD,356.0,139,48443,eval_eligible
UTHR,247.0,139,34940,excluded
VAC,180.0,139,26932,excluded
VC,203.0,139,29105,excluded
VER,387.0,139,53251,eval_eligible
VG,379.0,139,51881,eval_eligible
VGR,329.0,139,44340,train_only
VIAC,389.0,73,28155,eval_eligible
VIAV,367.0,139,49821,eval_eligible
VICI,385.0,139,52455,eval_eligible
VIPS,387.0,139,53038,eval_eligible
VIRT,307.0,139,42529,train_only
VLY,371.0,139,50701,eval_eligible
VNO,354.0,139,48123,eval_eligible
VOYA,359.0,139,48175,eval_eligible
VRNS,161.0,139,23749,excluded
VRNT,258.0,139,35914,excluded
VSAT,169.0,139,25875,excluded
VSH,326.0,139,44771,train_only
VST,387.0,139,53199,eval_eligible
VTR,387.0,139,52934,eval_eligible
VVV,332.0,139,45346,train_only
W,378.0,139,51754,eval_eligible
WAB,363.0,139,49513,eval_eligible
WAFD,189.0,139,27987,excluded
WAL,317.0,139,42543,train_only
WB,375.0,139,50561,eval_eligible
WBS,280.0,139,37471,train_only
WDC,389.0,139,53621,eval_eligible
WEN,385.0,139,52930,eval_eligible
WERN,275.0,139,37404,excluded
WES,336.0,139,45469,train_only
WEX,175.0,139,27280,excluded
WH,294.0,139,40903,train_only
WHR,322.0,139,43871,train_only
WING,253.0,139,34771,excluded
WIX,260.0,139,36942,excluded
WK,160.0,139,24419,excluded
WLK,276.0,139,37785,excluded
WMGI,369.0,139,50065,eval_eligible
WMS,216.0,139,30330,excluded
WOR,135.0,139,19607,excluded
WPC,307.0,139,41048,train_only
WRE,194.0,139,27321,excluded
WRI,327.0,139,44416,train_only
WRK,385.0,139,52724,eval_eligible
WSBC,149.0,139,21267,excluded
WSFS,123.0,139,17804,excluded
WSM,343.0,139,46783,train_only
WSO,133.0,139,20749,excluded
WTFC,214.0,139,30636,excluded
WTRG,363.0,139,49492,eval_eligible
WU,389.0,139,53494,eval_eligible
WUBA,276.0,139,38694,excluded
WWD,216.0,139,31253,excluded
WWE,347.0,139,47190,train_only
WWW,282.0,139,38484,train_only
WYND,267.0,139,37839,excluded
WYNN,377.0,139,51480,eval_eligible
XEC,383.0,139,52270,eval_eligible
XP,336.0,69,21552,train_only
XPO,331.0,139,44939,train_only
XRAY,360.0,139,48983,eval_eligible
XRX,372.0,139,51018,eval_eligible
YELP,316.0,139,42859,train_only
YETI,360.0,139,48335,eval_eligible
YEXT,321.0,139,43708,train_only
YY,313.0,139,42634,train_only
ZEN,375.0,139,50711,eval_eligible
ZG,300.0,139,40357,train_only
ZION,385.0,139,52606,eval_eligible
ZNGA,389.0,139,53618,eval_eligible
ZS,385.0,139,52406,eval_eligible
