ticker,median_bars_per_day,trading_days,total_returns,liquidity_class
CNX,387.0,139,53129,eval_eligible
COG,389.0,139,53597,eval_eligible
COHR,375.0,139,50264,eval_eligible
COLB,147.0,139,22589,excluded
COLD,366.0,139,49938,eval_eligible
COLM,225.0,139,31674,excluded
COMM,387.0,139,52882,eval_eligible
CONE,331.0,139,44621,train_only
COR,356.0,139,48233,eval_eligible
CORE,159.0,139,23105,excluded
COTY,385.0,139,52824,eval_eligible
COUP,373.0,139,50457,eval_eligible
CPRI,387.0,139,53077,eval_eligible
CPT,266.0,139,37120,excluded
CR,172.0,139,25214,excluded
CREE,368.0,139,49690,eval_eligible
CRI,276.0,139,38285,excluded
CRL,200.0,139,28621,excluded
CRUS,296.0,139,40967,train_only
CRWD,387.0,139,52493,eval_eligible
CSFL,277.0,139,37129,excluded
CSGS,124.0,139,19009,excluded
CSII,170.0,139,23965,excluded
CSL,209.0,139,28820,excluded
CSOD,238.0,139,34269,excluded
CTLT,297.0,139,40266,train_only
CUB,163.0,139,23999,excluded
CUBE,373.0,139,50874,eval_eligible
CUZ,308.0,139,41736,train_only
CVA,300.0,139,41609,train_only
CVBF,260.0,139,37199,excluded
CVI,281.0,139,39047,train_only
CVLT,257.0,139,36327,excluded
CVNA,367.0,139,49747,eval_eligible
CW,114.0,139,18112,excluded
CWK,209.0,139,30831,excluded
CWST,150.0,139,23285,excluded
CWT,155.0,139,21758,excluded
CXO,385.0,139,52706,eval_eligible
CXP,259.0,139,35586,excluded
CXW,321.0,139,43344,train_only
CY,374.0,139,50850,eval_eligible
CYBR,309.0,139,41867,train_only
CZR,357.0,139,48581,eval_eligible
CZZ,330.0,139,44248,train_only
DAR,305.0,139,42322,train_only
DBX,389.0,139,53389,eval_eligible
DCI,233.0,139,32995,excluded
DCPH,238.0,139,32405,excluded
DDOG,379.0,127,46820,eval_eligible
DEA,276.0,139,38775,excluded
DECK,263.0,139,35719,excluded
DEI,319.0,139,42903,train_only
DIOD,228.0,139,30557,excluded
DISCA,389.0,139,53270,eval_eligible
DISH,379.0,139,51785,eval_eligible
DKS,377.0,139,51687,eval_eligible
DLB,191.0,139,27808,excluded
DNKN,298.0,139,41837,train_only
DNLI,173.0,139,26987,excluded
DOC,389.0,139,53092,eval_eligible
DOX,298.0,139,40179,train_only
DOYU,305.0,139,40976,train_only
DRI,375.0,139,51150,eval_eligible
DRQ,179.0,139,27094,excluded
DT,352.0,139,46663,eval_eligible
DVA,375.0,139,50875,eval_eligible
